Short Name,Full Name,Year,Term,Faculty,Course Types,Credits,Instructors,TAs,Assessment count,Session count,Course outcomes: all,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PHARM 452 (LEC A1 Fa16),PHARM 452 PHARM PRACTICE-DESIGN&FUNCTION (LEC A1 Fa16),2017,Fall,Faculty of Pharmacy and Pharmaceutical Sciences,BSc in Pharmacy,3,Cheryl Sadowski,,7,14,"Identify health, medication management and safety needs for patients.",Identify aspects of design that impact patient ability to manage medications.,Consider disease and functional/disability information as relevant to the specific design needs. ,Describe features of universal design.,Classify forms of disability and identify functional supports associated with those disabilities.,"Explain the current approach to pharmacy visits for individuals with disabilities, as completed by Alberta Committee on Citizens with Disabilities (ACCD).","Develop design features that ensure patients’ medication access, safety, health and medication management/monitoring","Demonstrate patient/client-centered (individual, family, community group) approach in design.","Develop writing and presentation skills (oral, written) to demonstrate effectively the team’s final design in front of peers, clients, or experts in design and health services.",Actively listen and engage in negotiation with clients to effectively plan the approach for the project.,"Professional Roles a.	Share and evaluate own professional values and culture (translates knowledge to team members) b.	Articulate and share knowledge of other professional roles c.	Consult, seeks advice and confer with other professionals d.	Adapt professional role within a given context/ environment","Communication  a.	Integrate feedback into professional and team practice b.	Match level and mode of communication to the needs of team members c.	Actively listen and be receptive to the knowledge and opinions of others d.	Analyze conflict effectively and employ appropriate conflict resolution techniques/models e.	Develop presentations that consider the audience background, context, and learning needs","Collaboration a.	Identify and employ appropriate technologies to facilitate collaboration b.	Employ appropriate team role behaviours to support team function c.	Takes action in instances where there is a lack of inclusivity, respect, or trust on the team d.	Identify opportunities to improve team outcomes  e.	Negotiate action with team members to plan and execute team tasks","Reflection a.	Takes action based on reflection to improve personal and team performance  b.	Reflect on pharmacists’ contribution to the process. c.	Explore strengths and weaknesses in team composition and process","Express empathy for those experiencing disabilities, impairments, or handicaps.",Listen to others with respect.,Appreciates the role of advocacy for those who are vulnerable.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PHARM 427 (Winter 2017 LEC B1 SEM J1),PHARM 427 Wi17 - PAIN Combined LEC SEM Wi17,2017,Winter,Cross Listed Courses,"Therapeutics,, BSc in Pharmacy, 2nd year",1,John Ussher,,3,16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PHARM 367 (Winter 2017 LEC B1 SEM J1),PHARM 367 Wi17 - CARDIOLOGY Combined LEC SEM Wi17,2017,Winter,Cross Listed Courses,"Therapeutics,, BSc in Pharmacy, 2nd year",4,John Seubert,,4,32,"Describe the epidemiology, etiology, and risk factors of the conditions of primary focus.",Explain the anatomy of the heart and great blood vessels.,"Discuss the physiology of the blood supply, lymphatic system and cardiovascular system of the human body.",Describe the pathophysiology of the conditions of primary focus including clinical presentation and symptomatology and long term health consequences.,"Explain various basic cardiovascular measurements including: Heart sounds, Blood Pressure, Heart Rate, CXR, ECG, Ejection fraction","Describe medicinal chemistry, pharmacology and therapeutic principles applicable to selecting and monitoring drug therapy for the management of the conditions of primary focus.",Describe pharmacokinetic and pharmacodynamic principles applicable to the treatment of the conditions of primary focus.,Explain the effects of drugs used in the management of the conditions of primary focus.,Describe the specific laboratory tests used in the diagnosis and monitoring of the conditions of primary focus,"Describe the therapeutic approach incorporating non-pharmacologic and pharmacologic treatments of the conditions of primary focus including use of specific target drugs forcondition as well as alternative therapies (dose, route of administration, length of therapy,monitoring parameters)",Describe how to manage the toxicity of cardiac medications,Describe the societal and economic impact of the conditions of primary focus,Identify ethical issues surrounding treatment of the conditions of primary focus,Identify the role and the responsibility of the pharmacist within the course of the disease state and its therapy.,Identify applicable health system resources,Obtain a relevant history from a patient,Review the presenting signs and symptoms of the conditions of primary focus and describe criteria used to make the diagnosis and to be able to relate the severity of the disease,"Discuss the therapeutic options with patient, including risks and benefits, and medication and alternative therapy choices",Apply and demonstrate appropriate counseling and communication with patients,Follow appropriate monitoring parameters,Recommend appropriate changes to therapy based on patient outcomes and monitoring parameters,"Design pharmaceutical care plans including alternatives (drug, non-drug, referral,reassurance), recommendations, implementation, monitoring and follow up for patients with the conditions of primary focus.",Identify actual and potential drug related problems relating the conditions of primary focus and in various patient cases.,Manage clinically significant drug interactions with drugs used to treat the conditions of primary focus.,"Make rational, safe and effective drug treatment decisions for therapy, evaluation and monitoring based on an integrated knowledge of therapeutics, medicinal chemistry, and pharmacology.",Utilize an evidence-based approach to therapeutic management of the conditions of primary focus.,Identify and locate sources of information needed to solve drug related problems.,Critically evaluate the appropriateness and reliability of information from literature resources.,Synthesize information gained from various literature resources to solve problems or make recommendations.,Develop and practice skills for measuring blood pressure and heart rate.,Utilize self-directed learning abilities.,Work effectively in a healthcare team.,"Develop a caring, empathic attitude for patients experiencing the conditions of primary focus.",Develop an appreciation of the interdisciplinary nature of patient care.,Accept responsibility for keeping abreast of emerging technologies and drugs.,,,,,,,,,,,,,,,,,,,,,,,
PHARM 342 (Winter 2017 LAB LEC SEM),PHARM 342 Wi17 - DRUG USE & PATIENT CARE Combined LAB LEC SEM Wi17,2017,Winter,Cross Listed Courses,"Pharmacy Practice,, BSc in Pharmacy, 1st year",2,Ravina Sanghera-Grewal,,7,66,Identify the basic process requirements in utilizing the Patient Care Process:,a. Construct a patient care database,b. Identify the drug related problem,c. Manage a patient care profile electronically,Explain the basic concepts and principles applicable to professional responsibilities in the drug use control process and patient care interactions.,Identify federal and provincial pharmacy legislation with respect to the appropriate handling of drug products and practicing within the professions scope.,Identify legal requirements when accepting/receiving written & verbal prescriptions.,"For each component in the patient care process, describe the related activities and responsibilities of pharmacists, pharmacy students, interns, and pharmacy technicians.","Discuss how the medication-dispensing process intersects with the patient care process, and the respective roles of pharmacists, pharmacy students and pharmacy technicians and pharmacy technician students.",Identify and document potential medication prescribing errors in written and verbal prescriptions.,Apply concepts of third party billing and prescription pricing in the drug use process. ,Recognize issues surrounding drug diversion and security.,Demonstrate an introductory level of adverse drug reporting and management.,Relate the concepts of the culture of patient safety to the drug use process.,Apply relevant components of the Patient Care Process model to pharmacy practice.,"Demonstrate effective communication in clarifying prescription orders, providing drug information, documentation of errors and interacting with health care professionals and patients.",Utilize critical thinking in the problem solving process.,"Accurately process written and verbal prescriptions, meeting all legal and technical requirements for medications.",Demonstrate competency of the prescription processing software (KROLL).,"Function efficiently within the simulated pharmacy, both independently and within a group.",Complete an accurate patient record by gathering medication history and other relevant information.,"Document search process for drug information questions, citing references used.",Communicate effectively when having a dialogue with a simulated patient and other health care practitioners,"Demonstrate a responsible, caring, and professional attitude towards the profession of pharmacy, students, patients, and health care professionals.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PHARM 499 (Winter 2017 LEC B1 SEM J1),PHARM 499 Wi17 - WOMEN'S & MEN'S HEALTH Combined LEC SEM Wi17,2017,Winter,Cross Listed Courses,"Therapeutics,, BSc in Pharmacy, 3rd year",2,Nese Yuksel,,4,26,Explain the anatomy of the female and male reproductive systems.,Describe the physiology of the female and male reproductive systems.,"Describe the epidemiology, etiology, and risk factors of the conditions of focus (see list above).","Describe the pathophysiology of the conditions of focus including clinical presentation, symptomatology and health consequences.",Describe the medicinal chemistry and therapeutic principles in selecting and monitoring drug therapy for the management of the conditions of focus.,Describe pharmacokinetic and pharmacodynamic principles to the treatment of the conditions of focus.,"Describe the pharmacology, including mechanisms, efficacy, toxicology, side effect profiles, and role of each for the drugs and drug classes associated with the conditions of focus.",Describe the specific laboratory tests used in the diagnosis and monitoring of the conditions of focus.,"Describe the therapeutic approach incorporating non-pharmacologic and pharmacologic treatments of the conditions of focus including use of specific target drugs for condition as well as alternative therapies (dose, route of administration, length of therapy, monitoring parameters).",Discuss the role of Complementary and Alternative Medicines (CAM) for womens and mens health and describe the efficacy.,Discuss the methods of contraception available for men and women and describe the efficacy of each.,Describe the societal and economic impact of the conditions of focus.,Identify ethical issues surrounding treatment of the conditions of focus.,Describe the role and the responsibility of the pharmacist within the course of the disease state and its therapy.,Identify applicable health system resources.,"Apply concepts and knowledge of medicinal chemistry, pharmacology and therapeutic principles in selecting and monitoring drug therapy for the management of the conditions of focus.",Apply pharmacokinetic and pharmacodynamic principles to the treatment of the conditions of focus.,Identify actual and potential drug-related problems relating to the conditions of focus and in patient cases.,"Discuss alternatives (drug, non-drug), recommendations, implementation, monitoring and follow up for patients with the conditions of focus.","Utilize an evidence-based approach to the therapeutic management of the conditions of primary focus, including use of drug, non-drug and complementary and alternative medicines.",Discuss monitoring parameters for each of the condition of focus.,Utilize self-directed learning abilities.,Develop an appreciation of the interdisciplinary nature of patient care.,Accept responsibility for keeping abreast of emerging technologies and drugs.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PHARM 327 (LEC B1 Wi17),PHARM 327 NUTRITION (LEC B1 Wi17),2017,Winter,Faculty of Pharmacy and Pharmaceutical Sciences,BSc in Pharmacy,2,Hoon Sunwoo,,2,21,"Understand nutritional terminology, dietary requirements, and the role of nutrients in health and disease states, including obesity, diabetes, cardiovascular, osteoporosis, celiac disease, non-celiac gluten sensitivity, cancer, and autoimmune-inflammatory diseases.","Understand the application of various tools for nutritional assessment, nutritional deficiencies and toxicities, components of healthy diets, and principles of non-prescription natural health products, functional food regulations, food safety and food processing technologies.","Explain the interrelation of the biochemical, pharmacological and physiological functions of nutrients.",Explain the interaction of food and drug.,Explain how dietary agents (functional foods and nutraceuticals) may preventor delay the onset of some chronic diseases.,Explain their learning and knowledge of nutrition to those who are disease state.,Identify healthy diet for prevention and amelioration of chronic diseases inpatient cases.,Discuss dietary management for prophylactic and therapeutic approach of patient care.,"Discuss the criteria of an adequate diet for healthy individuals at various lifecycles (preconception, pregnancy, lactation, infancy, toddler, adolescence, adult and elder).",Search and report on a topic of relevance to nutrition and health.,"By the end of this course, students will be able to develop an appreciation of the fundamental importance of nutrition.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PHARM 489 (SEM B1 Wi17),PHARM 489 THERAP & PROF PRACT (SEM B1 Wi17),2017,Winter,Faculty of Pharmacy and Pharmaceutical Sciences,,3,Sherif Mahmoud,,5,18,Demonstrate the ability to research and develop practical therapeutic knowledge for the management of several disease states.,"Demonstrate in-depth knowledge of a controversial topic, critical thinking skills, decision-making skills, and verbal communication skills.","Demonstrate use of a therapeutic process to identify, prioritize, and resolve actual and/or potential drug-related problems using a patient care centered approach.",Answer a focused clinical question and create a patient care plan using a systematic problem-solving approach.,"Demonstrate refinement of critical appraisal, written and oral communication skills.",Incorporate principles of evidence-based medicine into therapeutic decision making.,Demonstrate a confident and competent approach to solving patient concerns.,Utilize a seamless care approach to promote optimal patient outcomes in acute and chronic care settings.,Apply appropriate documentation skills to facilitate care throughout a variety of settings.,"Demonstrate appropriate presentation skills (i.e. content, language) through case presentations.",Demonstrate self-directed learning abilities and team skills.,Accept responsibility of keeping current with emerging therapeutic modalities.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PHARM 387 (Winter 2017 LEC B1 SEM J1),PHARM 387 Wi17 - PEDIATRICS / GERIATRICS Combined LEC SEM Wi17,2017,Winter,Cross Listed Courses,"Therapeutics,, BSc in Pharmacy, 3rd year",1,Cheryl Sadowski,,5,24,Describe the challenges of providing care in a population with limited evidence.,"Describe the use and effect of drugs, pharmacoepidemiology, including prescription, non-prescription medication, and natural health products.","Describe risks for adverse drug events in pediatric and geriatric patients, and explain why they are more susceptible to adverse events.",Identify and describe age-appropriate communication strategies.,"Describe the role that culture, religion, and ethnicity may play in health and decision-making.",Identify controversial health issues involving pediatric and geriatric populations,"Define and be able to use the following terms in a clinical context: geriatrics, gerontology, elderly, aging, frailty.",Describe common stereotypes and biases toward aging in our western society.," Explain the demographics of aging, and how that may impact society and the healthcare system.",Briefly describe the psychosocial aspects of aging and be able to explain the role of the pharmacist in dealing with these aspects.,Describe the physiologic alterations associated with normal aging that modify drug response in the elderly patient.,"Describe the pharmacokinetic and pharmacodynamic changes associated with aging, and apply the principles to medications commonly used in geriatrics.", List the most common chronic diseases and causes of death in seniors.,Contrast disease presentation between the young adult and the elderly adult.,Identify medications that are considered inappropriate or high risk in older adults and explain why they are inappropriate or high risk.,Describe how criteria were developed to classify medications as appropriate or inappropriate in seniors.,Define polypharmacy and underutilization in terms of medications in seniors.,Contrast the presentation of adverse events in the elderly compared to the young adult.,Describe the impact of falls on the senior population.,Identify risk factors for falls in older individuals.,Describe appropriate interventions for falls.,Contrast how a geriatric syndrome is different than a disease state.,List the common geriatric syndromes.,Discuss the role of the pharmacist in medication management of seniors.,Identify methods of appropriately communicating with older adults who are hard of hearing.,Describe the role of the pharmacist in working with home care.,Identify appropriate home care supports for a given patient.,Categorize the types of abuse commonly suffered by seniors.,Describe the role of the pharmacist in reducing elder abuse,"Explain the demographics of the pediatric population in society, and explain how that may impact our role as pharmacists. (e.g. improvement of childhood illnesses, trend towards chronic disease management)","Identify and discuss some of the challenges involved in treating the pediatric population, including communication strategies, presentation of illness and the management and administration of medications to infants and children.",Discuss the importance of medication safety and identify measures used to ensure safe medication practices,Review pediatric toxicology and discuss preventative interventions that pharmacists can promote to patients or utilize in their practice to minimize pediatric toxicological poisonings or incidences.,Discuss basic neonatal care and challenges including premature birth.,Explain how pharmacokinetic parameters are different in infants and children versus adults.," Explain the significant differences in physiologic parameters between adolescents, children, toddlers and infants, including premature babies, and neonates",Identify and discuss appropriate management plans for common pediatric concerns such as teething and fevers.,"Identify and discuss appropriate management plans for common pediatric gastrointestinal illnesses (e.g. vomiting, diarrhea, dehydration, colic, and constipation).",Discuss presentation and treatment for common pulmonary pediatric illnesses; croup and bronchiolitis.,"Describe the various forms of pediatric abuse and discuss the Child, Youth and Family Enhancement Act and the responsibilities that are associated with the Act",Discuss the management and implications involved with a diagnosis of autism.,Use tools to assess medication appropriateness and medication management in seniors.,Be able to triage patients in a community setting and refer them to medical attention as appropriate.,Apply applicable pharmacokinetic parameters to monitor patients and assess appropriate use of medications., Apply knowledge and skills to establish safe and effective drug use.,Utilize when available an evidence-based approach to therapeutic management of pediatric and geriatric patients.,Identify sources of information needed to solve drug-related problems specific to the populations being studied.,Identify and be able to recommend aids to assist in medication management and administration.,"Empathize with children, older adults, and caregivers regarding challenging decision-making.",Take and defend a position on a controversy related to pediatrics and geriatrics using evidence-based arguments.,Prepare and present a personal script to address a controversial topic.,Communicate position through oral and written formats.,"Develop a caring, empathic attitude for and response to pediatric and geriatric patients","Develop an appreciation of the comprehensive, interdisciplinary nature of patient care for children and older adults",Appreciate the challenges related to decision-making and advocacy in grey areas of clinical practice and health.,,,
PHARM 307 (Winter 2017 LAB LEC SEM),"PHARM 307 Wi17 - DERMATOL/EYE,NOSE,THROAT Combined LAB LEC SEM Wi17",2017,Winter,Cross Listed Courses,"Therapeutics,, BSc in Pharmacy, 1st year",2,Ravina Sanghera-Grewal,,10,41,"Describe the epidemiology, etiology, and risk factors for the conditions of primary focus. ","Explain the anatomy of the integumentary system, eye, ear, nose and throat. ","Describe the physiology of the skin, eyes, ears, nose and throat.",Explain the physical conditions that lead to skin breakdown and wound development.,Describe the physiology of chronic wound healing.,Describe the pathophysiology of the primary focus conditions including clinical presentation and symptoms and long term health consequences.,"Describe the mechanisms, pathophysiology and clinical presentation of various drug-induced topical reactions.",Relate differences in pharmaceutical vehicles for topical or transdermal drug delivery.,Describe the specific laboratory tests used in the monitoring of isotretinoin.," Describe the therapeutic approach incorporating non-pharmacologic and pharmacologic treatments of the primary focus conditions including use of specific target drugs for condition as well as alternative therapies (dose, route of administration, length of therapy, monitoring parameters).",Describe and manage the toxicity of medications used in the management of the primary focus conditions,Describe the societal and economic impact of the primary focus conditions.,Identify ethical issues surrounding treatment of the primary focus conditions,Identify the role and the responsibility of the pharmacist within the course of the disease state and its therapy.,Identify applicable health system resources,For the conditions described the student should:, obtain a relevant history from a patient.," review the presenting signs and symptoms of conditions relating to the skin, eyes, ears, nose and throat.", describe criteria used to make the diagnosis and to be able to relate the severity of the disease.," discuss the therapeutic options with patient, including risks and benefits, and medication and alternative therapy choices", apply and demonstrate appropriate counseling and communication with patients, follow appropriate monitoring parameters, recommend appropriate changes to therapy based on patient outcomes and monitoring parameters,"Apply concepts and knowledge of medicinal chemistry, pharmacology and therapeutic principles in selecting and monitoring drug therapy for the management of the primary focus conditions.","Design simple pharmaceutical care plans including alternatives (drug, non-drug, referral, reassurance), recommendations, implementation, monitoring and follow up for patients with the primary focus conditions.",Identify actual and potential drug related problems relating to the primary focus conditions and in various patient cases.,Manage clinically significant drug interactions with drugs used to treat the primary focus conditions.,"Demonstrate appropriate physical assessment skills relating to acne, dry skin, eczema and psoriasis.",Refer patients to medical attention as appropriate.,"Counsel patients on the use of therapies (non-pharmacologic, Rx and OTC) in the primary focus conditions.","Select appropriate treatment for special groups (pediatrics, elderly, pregnancy, lactation).",Identify when to inform physicians and caregivers if there are danger signs apparent in the assessment.,"Recognize the integration of knowledge of therapeutics with medicinal chemistry and pharmacology required to develop rational treatment decisions for therapy, evaluation and monitoring.","Recall, select and apply appropriate knowledge and skills to establish safe and effective drug use.",Utilize an evidence-based approach to therapeutic management of the primary focus conditions.,Apply an evidence-based approach to complementary medicine.,Evaluate and interpret literature with respect to existing and new dosage forms, Identify and locate sources of information needed to solve a problem , Critically evaluate the appropriateness and reliability of information from literature resources, Synthesize information gained from various literature resources to solve problems or make recommendations ,Be aware of recent trends in development of new drug delivery systems.,Utilize self-directed learning abilities to synthesize a well-researched review of a non-prescription product. ,Interpret scientific literature to make a clinical recommendation.,"Develop a caring, empathic attitude for patients experiencing the primary focus conditions.",Work effectively within the healthcare team.,Develop an appreciation of the interdisciplinary nature of patient care,Accept responsibility for keeping abreast of emerging technologies and drugs.,,,,,,,,,,,
PHARM 428 (CLN 850 Su16),PHARM 428 EXPERIENTIAL BLK 2 (CLN 850 Su16),2017,Summer,Faculty of Pharmacy and Pharmaceutical Sciences,,8,Marlene Gukert,,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PHARM 331 (Winter 2017 LAB LEC SEM),PHARM 331 Wi17 - PHARMACEUTICS 1 Combined LAB LEC SEM Wi17,2017,Winter,Cross Listed Courses,"Pharmaceutical Sciences,, BSc in Pharmacy, 1st year",3,Raimar Löbenberg/Afsaneh Lavasanifar,,4,59,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PHARM 477 (Winter 2017 LEC B1 SEM J1),PHARM 477 Wi17 - INFECTIOUS DISEASES 2 Combined LEC SEM Wi17,2017,Winter,Cross Listed Courses,"Therapeutics,, BSc in Pharmacy, 3rd year",4,Christine Hughes,,4,37,"Identify the structural features, classification, and life cycle of viral and fungal pathogens.","Describe the etiology, pathogenesis, diagnosis, prevention and treatment (pharmacologic and nonpharmacologic) of various fungal, viral, and protozoal infections as well as sexually transmitted infections. Areas of focus for therapeutic management include: Herpes Simplex Virus, Herpes Zoster, Sexually Transmitted Infections, Viral hepatitis, Influenza, HIV and opportunistic infections, Malaria, Pinworm infections, Protozoal diseases (e.g. Toxoplasmosis, Giardia Lamblia, Cryptosporidium, Amebiasis), Dermatophytoses, Systemic fungal infections (Candidiasis, Cryptococcus)","Describe the spectrum of action, mechanism of action, mechanisms of resistance, adverse effects, and relevant drug-drug interactions for medications used to treat or prevent various fungal, viral, and protozoal infections.",Describe how vaccines stimulate an immune response and provide immunity.,"Identify the different types of vaccines (e.g. live attenuated, inactivated) and advantages/disadvantages of each.",Discuss childhood vaccine preventable diseases and the relative risks and benefits of vaccinations.,"Describe the composition, dosing, and administration practices of select vaccines administered in adults (e.g. influenza, pneumococcal, hepatitis A, hepatitis B, herpes zoster).",Recognize signs and symptoms of adverse reactions that can occur following vaccination and emergency procedures for management.,Discuss vaccine hesitancy and effective strategies to address vaccine hesitancy.,Describe the pharmacist’s role in disease prevention and health promotion.,Discuss legal and ethical issues related to vaccinations.,Describe prevention and management of Human Blood and Bodily Fluid Exposures (HBBFE).,"Outline examples of bioterrorism and recognize the etiology, assessment and treatment (e.g.Anthrax, Plague, Tularemia, Arena/Filovirus, Smallpox, Botulism)","Given a patient case, complete a patient assessment.","Identify actual or potential drug-related problems, develop a therapeutic and monitoring plan taking into consideration patient factors, efficacy, toxicity, cost, route of administration, etc.",Document your care for a patient as appropriate (either in a patient health record or community pharmacy records).,Develop skills necessary for self-directed and life-long learning.,"Develop a caring, empathic attitude for patients experiencing the conditions covered.",Develop an appreciation for opportunities to engage in the full scope of pharmacy practice as part of patient-centred collaborative care.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PHARM 324 (Winter 2017 LEC SEM),PHARM 324 Wi17 - HLTH PROF EVED BASED MED Combined LEC SEM Wi17,2017,Winter,Cross Listed Courses,"Pharmacy Practice,, BSc in Pharmacy, 1st year",1,Mark Makowsky,,4,23,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PHARM 497 (Winter 2017 LEC B1 SEM J1),PHARM 497 Wi17 - ENDOCRINE Combined LEC SEM Wi17,2017,Winter,Cross Listed Courses,"Therapeutics,, BSc in Pharmacy, 3rd year",2,Candace Necyk,,4,21,Identify the main anatomical components of the endocrine system.,"Describe the physiological effects of pituitary, hypothalamic, adrenal, thyroid, parathyroid and pancreatic hormones.","Describe the epidemiology, etiology, and risk factors of endocrine disorders.","Describe the pathophysiology of endocrine disorders, including clinical presentation, symptomatology, and long-term health consequences.",Recognize the main structural features of drugs used to manage endocrine disorders.,Explain the pharmacologic effects of drugs used to manage endocrine disorders.,Apply pharmacokinetic and pharmacodynamic principles to the drug treatment of endocrine disorders.,Describe the adverse effects of drugs used to manage endocrine disorders.,Describe actions and adverse effects of common natural health products used to manage endocrine disorders.,Describe the specific laboratory tests used in the diagnosis and monitoring of endocrine disorders.,"Describe the therapeutic approach incorporating non-pharmacologic and pharmacologic treatments to the prevention, treatment, and management of endocrine disorders; including use of specific target drugs for condition as well as alternative therapies (dose, route of administration, length of therapy, monitoring parameters).","Recognize and understand the appropriate acute management strategies for patients with diabetes, including travel, exercise and acute illness.",Identify ethical and cultural issues surrounding endocrine disorders., Identify the role and the responsibility of the pharmacist within the management of endocrine disorders.,Identify applicable health system resources for the management of endocrine disorders.," Apply concepts and knowledge of medicinal chemistry, pharmacology, and therapeutic principles for pharmacologic management of endocrine disorders.",Identify actual and potential drug-related problems associated with pharmacologic management of endocrine disorders.,"Develop a patient care plan related to the care of patients with endocrine disorders, including appropriate monitoring and documentation.",Identify and resolve clinically significant drug interactions.,"Select appropriate treatment for special groups (e.g., pediatrics, geriatrics, pregnant or lactating women).",Identify when to inform physicians and caregivers if there are danger signs apparent in the assessment.,Identify and retrieve appropriate sources of information needed to resolve drug related problems.,Use the principles of evidence-based medicine to critically evaluate the validity and applicability of information from various literature resources.,"Develop a caring, empathic attitude for patients experiencing of the conditions of primary focus. ",Develop an appreciation of the interdisciplinary nature of patient care.,Accept responsibility for keeping abreast of emerging technologies and drugs.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PHARM 531 (Spring 2017 LEC A1 A2 SEM E2),PHARM 531 Sp17 - CRITICAL ANALYSIS OF EVIDENCE Combined LEC SEM Sp17,2017,Spring,Faculty of Pharmacy and Pharmaceutical Sciences,Doctor of Pharmacy (PharmD) for BScPharm Students,3,Morgan Basiuk,,5,14,Demonstrate the EBCP process for answering clinical questions in practice.,Demonstrate the ability to search for and find the best evidence according to the type of question being asked.,Effectively provide a verbal study synopsis.,"Critically appraise the most common types of clinical studies pertinent to clinical pharmacist practice for validity, clinical relevance, and applicability. ",Calculate and interpret various estimates of treatment effect.,"Apply evidence, patient values, and clinical expertise and the principles of shared decision making to confidently & competently manage a patient’s medication therapy.",Demonstrate skills in self–directed learning and self-reflection as required for continuous professional development.,Apply verbal and written communication skills important for collaboration in professional team environments.,Demonstrate professional attitude and behaviour consistently and work collaboratively with other group members to achieve an evidence-based clinical practice.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PHARM 547 (Summer 2017 LEC B1 B2 SEM J1),PHARM 547 Su17 - ADVANCED THERAPEUTICS Combined LEC SEM Su17,2017,Spring,Faculty of Pharmacy and Pharmaceutical Sciences,Doctor of Pharmacy (PharmD),3,Jill Hall,,9,10,Demonstrate professional attitude and behaviour consistently and work collaboratively with other team members to optimize patients pharmacotherapy outcomes. ,Demonstrate respect for diversity of views and experiences.,Embrace self-directed and life-long learning.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PHARM 532 (Spring 2017 LAB D1 LEC A1 A2 SEM E2),PHARM 532 Spring 17 - PATIENT ASSESSMENT,2017,Spring,Faculty of Pharmacy and Pharmaceutical Sciences,Doctor of Pharmacy (PharmD) for BScPharm Students,3,Dr. Sherif Mahmoud,,5,22,Describe the role and use of specialized assessments used in patient care.,Demonstrate understanding of normal laboratory and physical assessment findings.,Identify patient assessment issues pertaining to special populations.,Apply assessment skills to consistently and efficiently identify and categorize drug therapy problems using a patient care centered approach.  ,Apply assessment skills to identify opportunities for de-prescribing.,Demonstrate refinement of decision making skills in patient assessment.,Demonstrate a systematic approach to performing a physical examination of a patient using inspection and palpation.,Perform vital signs and blood pressure.,"Apply physical assessment findings of the following areas to medication monitoring: vital signs, skin, throat, cardiovascular system and respiratory system.",Interpret and convey assessment findings to other providers/clinicians as they relate to pharmacotherapy.,Select and interpret appropriate laboratory tests to monitor drug therapy or screen for untreated conditions.,"Assess various symptoms of patients with respect to history, physical and laboratory findings, and potential drug and disease causes.",Apply pharmacokinetic principles to medication monitoring.,Demonstrate professional attitude and behavior consistently and work collaboratively with other group members.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PHARM 341 (LEC A1 Fa17),PHARM 341 PHARMACY MATH (LEC A1 Fa17),2017,Fall,Faculty of Pharmacy and Pharmaceutical Sciences,BSc in Pharmacy,2,"Gillian Johnson, Ravina Sanghera",,4,14,"Develop mathematical knowledge in relation to pharmacy practice; a: fundamentals of pharmaceutical calculations, b: international system of units and pharmaceutical measurement, c: density, specific gravity and specific volume, d: proportions and expressions of concentration, e: calculations relating to the preparation of solutions (isotonic, buffer and electrolyte), f: calculations relating to the delivery of parenteral therapy",Recognize the variability in measurement and unit conversion,Recall and arrange mathematical formulas pertaining to pharmacy practice,"Discuss the fundamental principles of IV therapy (reconstitutions, flow rates, infusion time and total volume) ",Perform conversions of measurement,"Compute mathematical problems using the following principles; a: density and specific gravity, b: specific volume, c: alligations d: concentrations and dilutions e: isotonic and electrolyte solutions  f: proportions ",Formulate calculations patient specific parameters and data,Demonstrate proficiency in using the Aliquot method,"Calculate concentrations of mixtures (weight/weight, weight/volume, volume/weight and volume/volume) and dilutions of stock solutions","Calculate  concentration and flow rates, infusion times and total volume of IV medications",Appreciate how pharmacy math contributes to a culture of patient safety,Integrate principles of pharmacy math into a culture of patient safety when relevant.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
